id,min,max,q1,q99,median,avg
aae,18,83,18,80.00999999999999,57,54.778
aae_associates,5.7,10.6,5.7,10.6,8,8.094799999999982
aae_bachelors,11.6,30.3,11.6,30.3,19.35,20.20680000000002
aae_graduate,5.6,22.2,5.6,22.2,10.9,12.123799999999981
abk,14,84,17,82,49,49.264
abk_g3reading,1.54,4.23,1.57,4.23,3,2.9759400000000014
abk_g8math,5.62,9.09,5.86,9.05,7.47,7.473420000000003
abk_hsincomplete,6.4,18.6,6.4,18.6,12.45,12.442400000000001
abk_lessthan9th,0.02,0.13,0.02,0.13,0.05,0.058739999999999806
abk_preschoolenroll,35.9,64.7,35.9,64.7,47.5,48.9986000000001
aic,22,79,23,79,52,51.348
aic_broadband,71.9,90.5,71.9,90.5,82.5,81.98140000000012
aic_broadbandspeed,108.1,173.51,108.1,173.51,135.39,137.94626000000008
aic_celldata,49,71.1,49,71.1,60.75,60.527000000000015
aic_nointernet,6.6,23,6.6,23,13.4,14.102200000000014
bhn,25,73,30,69,44,45.49
eq,20,85,20,81.01999999999998,51,50.666
eq_no2,4.8,16.09,4.8,16.09,9.48,10.008220000000021
eq_ozone,0.03,0.05,0.03,0.05,0.04,0.04029999999999963
eq_pm25,6,9.84,6,9.84,7.895,7.942139999999997
fow,25,73,28,69,47,47.84
hw,23,73,24,69,45,45.476
hw_cancer,4.7,7.35,4.7,7.35,5.8,5.802200000000001
hw_chd,3.75,7,3.75,7,5.3,5.345399999999999
hw_diabetes,7.1,13.35,7.1,13.35,9.8,9.946439999999996
hw_drugod,607.23,1081.07,607.23,1081.07,750.105,794.7026599999996
hw_mentalhealth,10.7,16.5,10.7,16.5,13.9,13.675779999999989
hw_mentalhealthfacilities,0.75,8.19,0.75,8.19,2.86,3.4076000000000097
hw_obesity,22.38,36.74,22.38,36.7,29.7,29.664380000000033
i,21,84,24.990000000000002,74,47,47.97
i_dissimilarity,0.13,0.47,0.13,0.47,0.22,0.2511999999999995
i_femalerepresentation,14.29,60,14.29,60,36.36,35.82088000000009
i_genderpaygap,0.63,0.85,0.63,0.85,0.76,0.7509799999999991
i_isolation,0.16,0.66,0.16,0.66,0.375,0.3897599999999997
i_linguistic,1.2,13.5,1.2,13.5,4.7,5.816200000000002
nbm,27,73,29,69,49,48.954
nbm_dental,54.08,73,54.08,73,63.3,63.24412000000012
nbm_foodsecurity,0.08,0.15,0.08,0.15,0.11,0.11459999999999983
nbm_preventative,62.56,76.04,62.56,76.04,67.4,68.30564000000007
nbm_supermarketaccess,42.4,85,42.4,85,71.05,68.45120000000001
opp,26,77,30,72,50,50.436
pfc,14,94,15,94,54,53.898
pfc_cleancommute,6,22.3,6,22.3,9.7,11.543600000000009
pfc_disconnected,3,10.6,3,10.6,6.6,6.726999999999987
pfc_ece,0,1,0,1,0.445,0.4818600000000002
pr,24,85,27,77,50,49.974
pr_bullyingharassment,0,6.04,0,6.04,1.3650000000000002,1.7107799999999995
pr_fatal,1.14,6.2,1.14,6.2,2.785,3.1666800000000066
pr_homeownership,41.1,71.1,41.1,71.1,54.65,55.00319999999988
pr_incarceration,164.57,516.16,164.57,516.16,291.05,307.29264000000103
pr_turnout,36.3,57.9,36.3,57.9,46.3,46.32720000000001
ps,8,88,9,88,46,46.202
ps_accidents,0.81,4.3,0.95,4.3,2.035,2.23284
ps_property,137.68,477.3,137.68,477.3,263.73,282.3379199999996
ps_violent,46.6,267.36,46.6,267.36,126.6,139.22314000000003
s,21,82,22,73.01999999999998,44.5,44.892
s_evictions,0.33,5.77,0.39,5.6,1.95,2.3310399999999993
s_hburdenowner,17.7,34.4,17.7,34.4,24.95,25.648600000000002
s_hburdenrenter,41,57.1,41,57.1,49.4,49.38340000000005
s_homeless,35.32,370.87,36.71,370.87,118.435,146.92956000000004
s_overcrowded,1.5,9.2,1.5,9.2,3.2,4.151400000000002
spi,30,70,31,65.01999999999998,47,47.63
ws,15,83,21,76.02999999999997,50,49.502
ws_drinkingwater,1.18,6.17,1.18,6.17,2.07,2.7500999999999993
ws_hazardouswaste,1.51,4.38,1.51,4.38,2.5599999999999996,2.692300000000005
ws_impervious,33.5,60.32,33.5,60.32,45.56,46.28
