LocationGeoid,PeerGeoid1,PeerGeoid2,PeerGeoid3,PeerGeoid4,PeerGeoid5,PeerGeoid6,PeerGeoid7,PeerGeoid8,PeerGeoid9,PeerGeoid10,PeerGeoid11,PeerGeoid12,PeerGeoid13,PeerGeoid14,PeerGeoid15,PeerGeoid16
16000US0668378,16000US0657792,16000US2545560,16000US0677000,16000US0649670,16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256
16000US0657792,16000US2545560,16000US0677000,16000US0649670,16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102
16000US2545560,16000US0677000,16000US0649670,16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204
16000US0677000,16000US0649670,16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638
16000US0649670,16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018
16000US0626000,16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342
16000US0647766,16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000
16000US0641992,16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194
16000US0651182,16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000
16000US4827684,16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496
16000US0669084,16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278
16000US1751622,16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582
16000US0668252,16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815
16000US1342425,16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980
16000US4870808,16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214
16000US5305210,16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730
16000US0648256,16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924
16000US0660102,16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770
16000US0681204,16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562
16000US0624638,16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740
16000US0660018,16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348
16000US1810342,16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535
16000US0667000,16000US0611194,16000US0668000,16000US0639496,16000US1823278,16000US0678582,16000US0812815,16000US4841980,16000US0613214,16000US2751730,16000US4801924,16000US0636770,16000US0600562,16000US3710740,16000US4856348,16000US4548535,16000US2511000
