geoid,totpop,medianhhinc,nonhispwhite,nonhispblack,nonhispasian,hispanicpop,nonhisphawnpi,nonhispamind,under5,age5_19,age20_34,age35_49,age50_65,over65,foreignborn,poor,below200pov
04000US01,4876250,50536,65.52,26.49,1.34,4.28,0.03,0.47,6.01,19.15,19.81,18.58,19.94,16.51,3.55,16.74,36.87
04000US02,737068,77640,60.63,3.1,6.09,7.04,1.22,14.42,7.22,20.18,23.58,18.63,19.19,11.2,7.82,10.69,25.4
04000US04,7050299,58945,54.71,4.21,3.21,31.33,0.18,3.92,6.16,19.79,20.61,18.32,18,17.12,13.34,15.15,34.51
04000US05,2999370,47597,72.43,15.23,1.5,7.47,0.29,0.59,6.32,19.85,19.81,18.35,19.03,16.63,4.84,17.05,39.75
04000US06,39283497,75235,37.18,5.52,14.28,39.02,0.36,0.36,6.24,19.37,22.19,19.78,18.45,13.97,26.85,13.36,30.96
04000US08,5610349,72331,68.06,3.95,3.11,21.53,0.14,0.54,5.95,19.12,22.27,20.07,18.79,13.79,9.74,10.31,25.42
04000US09,3575074,78444,66.91,9.91,4.48,16.06,0.02,0.16,5.14,18.56,19.2,18.65,21.64,16.81,14.57,9.92,22.63
04000US10,957248,68287,62.31,21.67,3.83,9.23,0.03,0.3,5.73,18.17,19.52,17.73,20.67,18.2,9.56,11.75,26.17
04000US11,692683,86420,36.58,45.44,3.93,11,0.04,0.2,6.5,14.54,31,20.32,15.55,12.08,13.72,16.24,28.29
04000US12,20901636,55660,53.9,15.32,2.68,25.58,0.05,0.2,5.4,16.92,19.08,18.46,20.02,20.12,20.69,14.02,34.18
04000US13,10403847,58700,52.73,31.18,3.95,9.54,0.05,0.19,6.31,20.6,20.73,20.03,18.81,13.52,10.13,15.09,34.26
04000US15,1422094,81275,21.99,1.71,36.89,10.49,9.36,0.16,6.25,17.31,20.98,18.66,18.97,17.83,18.45,9.44,21.98
04000US16,1717750,55785,81.96,0.66,1.34,12.54,0.14,1.11,6.66,21.73,19.77,18.29,18.14,15.42,5.96,13.12,34.25
04000US17,12770631,65886,61.31,13.97,5.42,17.12,0.02,0.12,6.01,19.23,20.6,19.34,19.6,15.21,14.07,12.49,28.47
04000US18,6665703,56303,79.08,9.25,2.26,6.93,0.03,0.19,6.28,20.12,20.13,18.57,19.54,15.36,5.25,13.43,31.56
